Title,Artist,Sales,Link
21,ADELE,"Sales: 30,000,000",https://bestsellingalbums.org/album/1034
25,ADELE,"Sales: 23,000,000",https://bestsellingalbums.org/album/1035
CHRISTMAS,MICHAEL BUBLÉ,"Sales: 15,000,000",https://bestsellingalbums.org/album/30524
1989,TAYLOR SWIFT,"Sales: 14,748,116",https://bestsellingalbums.org/album/45488
PURPOSE,JUSTIN BIEBER,"Sales: 14,000,000",https://bestsellingalbums.org/album/23318
DIVIDE,ED SHEERAN,"Sales: 13,787,460",https://bestsellingalbums.org/album/12876
FROZEN,SOUNDTRACK,"Sales: 12,632,083",https://bestsellingalbums.org/album/42961
TEENAGE DREAM,KATY PERRY,"Sales: 12,134,000",https://bestsellingalbums.org/album/23977
X,ED SHEERAN,"Sales: 11,879,785",https://bestsellingalbums.org/album/12880
DOO-WOPS & HOOLIGANS,BRUNO MARS,"Sales: 11,270,000",https://bestsellingalbums.org/album/6777
RECOVERY,EMINEM,"Sales: 10,873,795",https://bestsellingalbums.org/album/13756
NIGHT VISIONS,IMAGINE DRAGONS,"Sales: 9,616,263",https://bestsellingalbums.org/album/19810
IN THE LONELY HOUR,SAM SMITH,"Sales: 9,321,352",https://bestsellingalbums.org/album/39978
UNORTHODOX JUKEBOX,BRUNO MARS,"Sales: 8,976,749",https://bestsellingalbums.org/album/6778
RED,TAYLOR SWIFT,"Sales: 8,889,124",https://bestsellingalbums.org/album/45494
+,ED SHEERAN,"Sales: 7,705,000",https://bestsellingalbums.org/album/12875
VIEWS,DRAKE,"Sales: 7,687,247",https://bestsellingalbums.org/album/12457
BEAUTY BEHIND THE MADNESS,THE WEEKND,"Sales: 7,584,588",https://bestsellingalbums.org/album/47839
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",BILLIE EILISH,"Sales: 7,256,516",https://bestsellingalbums.org/album/5207
BORN THIS WAY,LADY GAGA,"Sales: 7,166,944",https://bestsellingalbums.org/album/25786
MAP OF THE SOUL: 7,BTS (방탄소년단),"Sales: 7,130,621",https://bestsellingalbums.org/album/6859
BEERBONGS & BENTLEYS,POST MALONE,"Sales: 7,116,118",https://bestsellingalbums.org/album/36763
TAKE CARE,DRAKE,"Sales: 6,920,000",https://bestsellingalbums.org/album/12455
SPEAK NOW,TAYLOR SWIFT,"Sales: 6,917,500",https://bestsellingalbums.org/album/45496
PRISM,KATY PERRY,"Sales: 6,692,500",https://bestsellingalbums.org/album/23975
BORN TO DIE,LANA DEL REY,"Sales: 6,674,983",https://bestsellingalbums.org/album/25846
LOUD,RIHANNA,"Sales: 6,673,000",https://bestsellingalbums.org/album/38507
ANTI,RIHANNA,"Sales: 6,537,235",https://bestsellingalbums.org/album/38505
BLURRYFACE,TWENTY ONE PILOTS,"Sales: 6,500,000",https://bestsellingalbums.org/album/49504
HOLLYWOOD'S BLEEDING,POST MALONE,"Sales: 6,461,665",https://bestsellingalbums.org/album/36764
SCORPION,DRAKE,"Sales: 6,433,983",https://bestsellingalbums.org/album/12453
STONEY,POST MALONE,"Sales: 6,371,355",https://bestsellingalbums.org/album/36765
TAKE ME HOME,ONE DIRECTION,"Sales: 6,334,619",https://bestsellingalbums.org/album/34460
THE GREATEST SHOWMAN,SOUNDTRACK,"Sales: 6,318,119",https://bestsellingalbums.org/album/43568
BEYONCÉ,BEYONCÉ,"Sales: 6,290,833",https://bestsellingalbums.org/album/4969
THE TRUTH ABOUT LOVE,P!NK,"Sales: 6,231,084",https://bestsellingalbums.org/album/34874
REPUTATION,TAYLOR SWIFT,"Sales: 6,186,524",https://bestsellingalbums.org/album/45495
?,XXXTENTACION,"Sales: 6,182,852",https://bestsellingalbums.org/album/56027
TRAVELLER,CHRIS STAPLETON,"Sales: 6,157,000",https://bestsellingalbums.org/album/8686
STARBOY,THE WEEKND,"Sales: 6,070,666",https://bestsellingalbums.org/album/47843
UP ALL NIGHT,ONE DIRECTION,"Sales: 6,046,188",https://bestsellingalbums.org/album/34461
MIDNIGHT MEMORIES,ONE DIRECTION,"Sales: 6,020,087",https://bestsellingalbums.org/album/34459
MAP OF THE SOUL: PERSONA,BTS (방탄소년단),"Sales: 6,010,031",https://bestsellingalbums.org/album/6860
GOODBYE & GOOD RIDDANCE,JUICE WRLD,"Sales: 6,002,713",https://bestsellingalbums.org/album/23018
A HEAD FULL OF DREAMS,COLDPLAY,"Sales: 6,000,000",https://bestsellingalbums.org/album/9346
THE HEIST,MACKLEMORE & RYAN LEWIS,"Sales: 5,858,500",https://bestsellingalbums.org/album/28330
THE MARSHALL MATHERS LP 2,EMINEM,"Sales: 5,790,318",https://bestsellingalbums.org/album/13762
LOVER,TAYLOR SWIFT,"Sales: 5,686,733",https://bestsellingalbums.org/album/45493
WATCH THE THRONE,JAY-Z & KANYE WEST,"Sales: 5,550,000",https://bestsellingalbums.org/album/21088
THIS ONE'S FOR YOU,LUKE COMBS,"Sales: 5,490,000",https://bestsellingalbums.org/album/28046
