token,dep,head
#,nmod,Agreement
#,nmod,Agreement
DataKindAgreements__page_1,punct,#
"
",dep,Agreement
The,nmod,University
City,nmod,University
University,nmod,Agreement
of,prep,University
New,compound,York
York,pobj,of
"
",dep,University
Data,nmod,Transfer
Transfer,nmod,Agreement
and,cc,Transfer
Non,conj,Transfer
-,conj,Transfer
Disclosure,conj,Transfer
Agreement,ROOT,Agreement
"

",dep,made
This,det,Agreement
Data,nmod,Transfer
Transfer,nmod,Agreement
and,cc,Transfer
Non,conj,Transfer
-,conj,Transfer
Disclosure,conj,Transfer
Agreement,nsubjpass,made
(,punct,Agreement
the,det,Agreement
“,punct,Agreement
Agreement,appos,Agreement
”,punct,Agreement
),punct,Agreement
is,auxpass,made
made,ROOT,made
as,prep,made
of,prep,as
May,pobj,of
17,nummod,May
",",punct,May
"
",dep,May
2017,nummod,May
(,punct,May
the,det,Date
“,punct,Date
Effective,amod,Date
Date,appos,May
”,punct,Date
),punct,May
",",punct,May
by,prep,made
and,cc,by
between,conj,by
The,det,University
City,compound,University
University,pobj,between
of,prep,University
New,compound,York
York,pobj,of
",",punct,University
baving,acl,University
an,det,"
"
"
",dep,baving
address,dobj,baving
at,prep,address
205,nummod,E
E,pobj,at
",",punct,E
42nd,compound,Street
Street,appos,E
",",punct,Street
New,compound,York
York,npadvmod,Street
",",punct,York
NY,appos,York
10017,nummod,NY
(,punct,E
“,punct,CUNY
CUNY,appos,E
”,punct,CUNY
),punct,E
",",punct,University
and,cc,University
DataKind,conj,University
",",punct,DataKind
having,acl,DataKind
an,det,"
"
"
",dep,having
address,dobj,having
at,prep,address
156,nummod,Avenue
5,nummod,Avenue
"""",punct,Avenue
Avenue,pobj,at
",",punct,Avenue
New,compound,York
York,appos,Avenue
",",punct,York
NY,appos,York
10010,nummod,NY
(,punct,Institution
“,punct,Institution
Institution,pobj,at
”,punct,Institution
),punct,Institution
on,prep,University
behalf,pobj,on
of,prep,behalf
its,poss,employee
employee,pobj,of
"
",dep,employee
JeanCarlo,compound,Bonilla
Bonilla,appos,employee
(,punct,employee
“,punct,Investigator
Principal,compound,Investigator
Investigator,appos,employee
”,punct,Investigator
and,cc,on
collectively,advmod,with
with,conj,on
“,punct,Institution
Institution,pobj,with
",",punct,Institution
”,punct,Institution
the,det,Recipient
“,punct,Recipient
Recipient,appos,Institution
”,punct,Recipient
),punct,with
"
",dep,made
for,prep,made
Data,pobj,for
that,nsubjpass,provided
may,aux,provided
be,auxpass,provided
provided,relcl,Data
under,prep,provided
the,det,terms
terms,pobj,under
of,prep,terms
this,det,Agreement
Agreement,pobj,of
.,punct,made
"

",dep,Data
1,meta,Data
.,punct,1
Data,ROOT,Data
.,punct,Data
"

",dep,Data
(,punct,consist
a,meta,consist
),punct,a
The,det,data
study,compound,data
data,nsubj,consist
to,aux,furnished
be,auxpass,furnished
furnished,relcl,data
by,agent,furnished
CUNY,pobj,by
to,dative,furnished
Recipient,pobj,to
consist,ROOT,consist
of,prep,consist
that,det,data
data,pobj,of
listed,acl,data
in,prep,listed
"
",dep,in
Exhibit,compound,A
A,pobj,in
to,prep,A
this,det,Agreement
Agreement,pobj,to
(,punct,A
the,det,Data
“,punct,Data
Data,appos,A
”,punct,Data
),punct,A
.,punct,consist
"

",dep,retains
(,punct,b
b,meta,retains
),punct,b
|,punct,retains
CUNY,nsubj,retains
retains,ROOT,retains
ownership,dobj,retains
of,prep,ownership
the,det,Data
Data,pobj,of
and,cc,ownership
all,det,rights
intellectual,amod,property
property,compound,rights
rights,conj,ownership
thercin,nmod,rights
.,punct,retains
"
",dep,use
Recipient,nsubj,use
shall,aux,use
not,neg,use
use,ROOT,use
thé,nmod,Data
Data,dobj,use
or,cc,use
make,conj,use
",",punct,make
cause,dep,make
to,aux,made
be,auxpass,made
made,xcomp,cause
",",punct,cause
use,conj,cause
or,cc,use
sell,conj,use
for,prep,sell
any,det,purpose
purpose,pobj,for
",",punct,sell
any,det,"
"
"
",dep,make
