text,label
This Data Transfer and Non-Disclosure Agreement,LAW
"May 17,
2017",DATE
The City University of New York,ORG
205 E,FAC
42nd Street,FAC
New York,GPE
NY,GPE
CUNY,ORG
DataKind,ORG
"156 5"" Avenue",FAC
New York,GPE
NY,GPE
Institution,ORG
JeanCarlo Bonilla,PERSON
Institution,ORG
CUNY,ORG
CUNY,ORG
Data,ORG
Data,ORG
Data,ORG
Data,ORG
CUNY,ORG
2.,CARDINAL
Institution,ORG
CUNY,ORG
3,CARDINAL
CUNY,ORG
CUNY,ORG
Section 4(c),LAW
CUNY,ORG
3,CARDINAL
Recipient,ORG
third,ORDINAL
third,ORDINAL
CUNY,ORG
CUNY,ORG
4.,CARDINAL
Recipient’s,ORG
third,ORDINAL
Recipient,ORG
CUNY,ORG
Recipient,ORG
"three (3)
business days",DATE
Recipient,ORG
Recipient,ORG
CUNY,ORG
CUNY,ORG
Recipient,ORG
Recipient,ORG
Recipient,ORG
July 2016,DATE
CUNY,ORG
Recipient,ORG
CUNY,ORG
Recipient,ORG
Recipient,ORG
CUNY,ORG
less than thirty (30) days,DATE
CUNY,ORG
CUNY,ORG
Recipient,ORG
Recipient,ORG
CUNY,ORG
6.,CARDINAL
CUNY,ORG
CUNY,ORG
Recipient,ORG
Recipient,ORG
Recipient,ORG
Recipient,ORG
CUNY,ORG
Recipient,ORG
CUNY,ORG
July 2016,DATE
two years,DATE
Recipient,ORG
CUNY,ORG
CUNY,ORG
one,CARDINAL
Recipient,ORG
Recipient,ORG
thirty (30) days,DATE
Recipient,ORG
Jaw,ORG
CUNY,ORG
Recipient,ORG
CUNY,ORG
CUNY,ORG
9,CARDINAL
502,CARDINAL
New York,GPE
Nicole Iden,PERSON
CUNY,ORG
53202HH,CARDINAL
New York,GPE
Dara Bryne,PERSON
July 2016,DATE
CUNY,ORG
one,CARDINAL
one,CARDINAL
July 2016,DATE
"New
York State",GPE
New York County,GPE
the United States District Court for the Southern District of New York,ORG
"the day and
year",DATE
first,ORDINAL
JeanCarlo Bonilla,PERSON
Institution,ORG
JeajCarlo Bonilla,PERSON
"THE CITY UNIVERSITY OF NEW YORK

",ORG
"ee lk oral

",PERSON
Steven Viton,PERSON
Fi nance aac Adheninwerncton,ORG
July 2016,DATE
"90 or more
credit hours",TIME
one,CARDINAL
spring 2015,DATE
from fall 2005,DATE
fall 2014,DATE
year 8,DATE
fall 2016,DATE
first,ORDINAL
academic year,DATE
end of year 8,DATE
Bachelor’s degrees,WORK_OF_ART
CUNY,ORG
first,ORDINAL
John J ay College,ORG
CUNY,ORG
John Jay,ORG
the Office of Financial Aid,ORG
John Jay,PERSON
CUNY,ORG
90 or more credit hours,TIME
Recipient,ORG
CUNY,ORG
CUNY,ORG
Recipient,ORG
the Data Transfer & Non-Confidentiality Agreement,LAW
"The City
University of New York",ORG
JeanCarlo Bonilla,PERSON
Michael Dowd,PERSON
JeanCarlo Bonilla,PERSON
July 2016,DATE
"June__21 _, 2021",DATE
"The City
University of New York",ORG
CUNY,ORG
John Jay College of Criminal Justice,ORG
New York,GPE
NY,GPE
"DataKind, Inc.",ORG
the State of Delaware,GPE
419,CARDINAL
180184,CARDINAL
Brooklyn,GPE
NY,GPE
11218,CARDINAL
DataKind,ORG
John Jay College,ORG
CUNY,ORG
Purpose,ORG
2,CARDINAL
one,CARDINAL
3,CARDINAL
2,CARDINAL
third,ORDINAL
3,CARDINAL
November 2018,DATE
this Paragraph 3,LAW
third,ORDINAL
third,ORDINAL
Discloser,ORG
Discloser,ORG
6.,CARDINAL
third,ORDINAL
The Family Educational Rights and Privacy Act,LAW
"20
U.S.C.A. 1232",LAW
CUNY,ORG
9.,CARDINAL
CUNY,ORG
U.S.,GPE
the Export Administration Regulations,LAW
International Traffic in Arms Regulations,LAW
"the Office of Foreign
Assets Control",LAW
non-CUNY,ORG
November 2018,DATE
CUNY,ORG
"this
Agreement",LAW
first,ORDINAL
CUNY,ORG
"at least
30 days",DATE
CUNY,ORG
non-CUNY,ORG
CUNY,ORG
non-CUNY,ORG
CUNY,ORG
CUNY,ORG
CUNY,ORG
10.,CARDINAL
three (3) years,DATE
thirty (30) days,DATE
one,CARDINAL
five (5) years,DATE
fifteen (15) days,DATE
Discloser,ORG
Discloser,ORG
New York State,GPE
"New York
County",GPE
United States,GPE
November 2018,DATE
one,CARDINAL
"DataKind, Inc.",ORG
The City University of New York,ORG
Krabbe,PERSON
"Bypud

",PERSON
"Russatta Buford

",PERSON
Derek Davis,PERSON
CUNY,ORG
November 2018,DATE
"February 1, 2022",DATE
"Datakind, Inc.",ORG
Delaware,GPE
271,CARDINAL
2,CARDINAL
24554,CARDINAL
Brooklyn,GPE
NY,GPE
DataKind,ORG
The City University of New York,ORG
New York,GPE
Article 125 of the New York State Education Law,LAW
"John Jay
College of Criminal Justice",ORG
New York,GPE
NY,GPE
10019,CARDINAL
DataKind,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
2.,CARDINAL
Party,ORG
Party,ORG
SOW,ORG
Party,ORG
SOW,ORG
thirty (30) days,DATE
4,CARDINAL
7,CARDINAL
8,CARDINAL
9,CARDINAL
3.,CARDINAL
4.,CARDINAL
DataKind,ORG
Services,ORG
DataKind,ORG
DataKind,ORG
Services,ORG
Client,ORG
DataKind,ORG
Work Product,PRODUCT
Client,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
the Work Product,PRODUCT
DataKind,ORG
Client to DataKind,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
"June 21, 2021",DATE
Client,ORG
the Work Product,PRODUCT
DatakKind,ORG
DataKind,ORG
Client,ORG
Client,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
third,ORDINAL
Client,ORG
Client,ORG
DataKind,ORG
Client,ORG
third,ORDINAL
DataKind,ORG
Services,ORG
DataKind,ORG
6,CARDINAL
DataKind,ORG
Client,ORG
Datakind,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
the State of New York,GPE
"the City of
New York",GPE
DataKind,ORG
The New York State Iran Divestment Act of 2012,LAW
New York State,GPE
Office of General Services,ORG
DataKind,ORG
Client,ORG
"the Mutual Non-Disclosure
Agreement",LAW
"June 21, 2021",DATE
MNDA,ORG
DataKind,ORG
MNDA,ORG
paragraph 3,LAW
MNDA,LAW
DataKind,ORG
Section 8 of the New York State Court of Claims Act,LAW
Client,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
Client,ORG
Client,ORG
third,ORDINAL
third,ORDINAL
DataKind,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
7,CARDINAL
DataKind,ORG
Client,ORG
DataKind,ORG
"the Mutual Non-Disclosure
Agreement",LAW
the State of New York,GPE
New York,GPE
one,CARDINAL
DataKind,ORG
DataKind,ORG
Services,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
the City of New York,GPE
the State of New York,GPE
DataKind,ORG
Client,ORG
Client,ORG
DataKind,ORG
State,ORG
the State of New York,ORG
The City University of New York,ORG
"DataKind, Inc.",ORG
"Caitlin Augustin

",PERSON
Dank Delian,PERSON
"Daniel Dolan

",PERSON
"2/23/22


",DATE
John Jay College,ORG
DataKind,ORG
1.,CARDINAL
DataKind,ORG
3.,CARDINAL
DataKind,ORG
4.,CARDINAL
5.,CARDINAL
6,CARDINAL
DataKind,ORG
DataKind,ORG
the United States,GPE
four-year,DATE
"2
years",DATE
a Bachelor's degree,WORK_OF_ART
4 years,DATE
"an
Associate’s Degree",WORK_OF_ART
an additional 4 years,DATE
6 years,DATE
Associate’s and,WORK_OF_ART
Bachelor’s degree,ORG
John Jay College of Criminal Justice,ORG
JUC,ORG
"The City University of New York
",ORG
CUNY,ORG
College,ORG
College,ORG
"over 15,000",CARDINAL
John Jay College,ORG
the City University of New York’s,ORG
60%,PERCENT
40%,PERCENT
Hispanic,NORP
25%,PERCENT
African American,NORP
today,DATE
the United States,GPE
4-year,DATE
4 year,DATE
"the American Institutes for
Research",ORG
only about 60%,PERCENT
four-year,DATE
six years,DATE
4 year,DATE
John Jay College,ORG
NYC,GPE
CUNY,ORG
4 year,DATE
6 years,DATE
John Jay College,ORG
JJC,ORG
John Jay College,ORG
John Jay,ORG
"a
Bachelor’s Degree",WORK_OF_ART
"the semester before they transfer,",DATE
the summer before,DATE
"the first academic
year",DATE
JJC,ORG
JJC,ORG
JJC,ORG
2005 - 2021,DATE
John Jay,ORG
John Jay College,ORG
DataKind,ORG
"the John Jay
team",ORG
six years,DATE
semester,DATE
summer,DATE
first,ORDINAL
CUNY,ORG
John Jay College’s,ORG
"the
prescribed 6 years",DATE
DataKind,ORG
DataKind,ORG
John Jay College,ORG
CUNY,ORG
John Jay’s,ORG
DataKind DataCorps,ORG
90,CARDINAL
75 percent,PERCENT
John Jay,ORG
JJC,ORG
Completion for Upper-division Student Program,ORG
CUSP,ORG
"5
years",DATE
4-year,DATE
41%,PERCENT
first,ORDINAL
25%,PERCENT
Jupyter,ORG
SAS,ORG
SAS,ORG
CUSP,ORG
DataKind,ORG
Jay Shah,PERSON
Anuja Mahashabde,PERSON
Shreyash Suryawanshi,PERSON
Kaveri Nadhamuni,PERSON
Prakrit Baruah,PERSON
Khizer Asad,PERSON
Moiz Ali,PERSON
Felicia Edwards,PERSON
NEW YORK,GPE
October 2019,DATE
NYS,GPE
State,ORG
"Section 41 of
the State Finance Law",LAW
State,ORG
2.,CARDINAL
Section 138,LAW
the State Finance Law,LAW
State,ORG
"Article XI of
the State Finance Law",LAW
State,ORG
State,ORG
State,ORG
Article 5-A,LAW
