token,dep,head
#,punct,AGREEMENT
#,punct,AGREEMENT
DataKind_-_JJC_Mutual_NDA_Fully_Signed_Redacted_page_1,punct,#
"
",dep,AGREEMENT
MUTUAL,amod,AGREEMENT
NON,amod,AGREEMENT
-,amod,AGREEMENT
DISCLOSURE,amod,AGREEMENT
AGREEMENT,ROOT,AGREEMENT
"

",dep,is
This,det,Agreement
Non,compound,Agreement
-,compound,Agreement
Disclosure,compound,Agreement
Agreement,nsubj,is
is,ROOT,is
effective,acomp,is
as,prep,is
of,prep,as
June,pobj,of
",",punct,June
2021,npadvmod,June
",",punct,is
and,cc,is
is,conj,is
between,prep,is
The,det,University
City,nmod,University
"

",dep,City
University,pobj,between
of,prep,University
New,compound,York
York,pobj,of
(,punct,University
“,punct,University
CUNY,appos,University
”,punct,CUNY
),punct,University
on,prep,is
behalf,pobj,on
of,prep,behalf
John,compound,Jay
Jay,compound,College
College,pobj,of
of,prep,College
Criminal,compound,Justice
Justice,pobj,of
located,acl,College
at,prep,located
"

",dep,Street
524,nummod,Street
W.,nmod,Street
59,nummod,Street
"""",punct,Street
Street,pobj,at
",",punct,Street
New,compound,York
York,npadvmod,Street
",",punct,York
NY,appos,York
10019,nummod,NY
",",punct,College
and,cc,College
DataKind,nmod,Inc.
",",punct,Inc.
Inc.,conj,College
",",punct,Inc.
a,det,corporation
corporation,appos,Inc.
organized,acl,corporation
under,prep,organized
the,det,laws
"

",dep,laws
laws,pobj,under
of,prep,laws
with,prep,organized
a,det,address
mailing,compound,address
address,pobj,with
of,prep,address
"
",dep,of
ataKind,pobj,of
”,punct,of
),punct,College
.,punct,is
"

",dep,wish
The,det,parties
parties,nsubj,wish
wish,ROOT,wish
to,aux,engage
engage,xcomp,wish
in,prep,engage
discussions,pobj,in
and/or,cc,discussions
activities,conj,discussions
related,amod,activities
to,prep,related
examining,pcomp,to
with,prep,examining
the,det,"
"
"
",dep,with
objective,pobj,with
of,prep,objective
increasing,pcomp,of
the,det,rates
rates,dobj,increasing
of,prep,rates
community,compound,college
college,compound,graduates
graduates,pobj,of
matriculating,acl,graduates
at,prep,matriculating
",",punct,matriculating
and,cc,matriculating
ultimately,advmod,"
"
"
",dep,matriculating
graduating,conj,matriculating
from,prep,graduating
",",punct,matriculating
John,compound,Jay
Jay,compound,College
College,conj,matriculating
",",punct,College
or,cc,College
other,amod,colleges
senior,amod,colleges
colleges,conj,College
across,prep,colleges
the,det,system
CUNY,compound,system
system,pobj,across
(,punct,system
the,det,Purpose
"
",dep,Purpose
“,punct,Purpose
Purpose,appos,system
’,punct,Purpose
”,punct,Purpose
),punct,system
that,nsubj,involve
may,aux,involve
involve,relcl,discussions
the,det,disclosure
disclosure,dobj,involve
of,prep,disclosure
certain,amod,Information
Confidential,compound,Information
Information,pobj,of
(,punct,disclosure
as,mark,defined
defined,advcl,disclosure
"
",dep,defined
below,advmod,defined
),punct,defined
.,punct,wish
For,prep,referred
purposes,pobj,For
of,prep,purposes
this,det,Agreement
Agreement,pobj,of
",",punct,referred
a,det,party
party,nsubjpass,"
"
disclosing,acl,party
Confidential,compound,Information
Information,dobj,disclosing
shall,aux,"
"
be,auxpass,"
"
"
",dep,referred
referred,ROOT,referred
to,prep,referred
as,prep,referred
a,det,Discloser
"""",punct,Discloser
Discloser,pobj,as
"""",punct,Discloser
and,cc,referred
a,det,party
party,nsubjpass,referred
receiving,acl,party
Confidential,compound,Information
Information,dobj,receiving
shall,aux,referred
be,auxpass,referred
referred,conj,referred
to,prep,referred
as,prep,referred
"
",dep,as
a,det,Recipient
"""",punct,Recipient
Recipient,pobj,as
.,punct,referred
"""",punct,referred
As,mark,is
this,nsubj,is
is,advcl,understood
a,det,agreement
reciprocal,amod,agreement
agreement,attr,is
",",punct,understood
it,nsubjpass,understood
is,auxpass,understood
understood,ROOT,understood
that,mark,be
a,det,party
party,nsubj,be
may,aux,be
be,ccomp,understood
both,preconj,Recipient
a,det,Recipient
"
",dep,Recipient
Recipient,attr,be
and,cc,Recipient
a,det,Discloser
Discloser,conj,Recipient
",",punct,be
since,mark,receive
it,nsubj,receive
may,aux,receive
both,preconj,receive
receive,advcl,be
and,cc,receive
disclose,conj,receive
Confidential,compound,Information
Information,dobj,disclose
.,punct,understood
"

",dep,agree
The,det,parties
parties,nsubj,agree
agree,ROOT,agree
as,mark,follows
follows,advcl,agree
:,punct,follows
"

",dep,Information
1,meta,Information
.,meta,Information
Confidential,compound,Information
Information,dobj,agree
.,punct,agree
Subject,advcl,mean
to,prep,Subject
Paragraph,pobj,to
2,nummod,Paragraph
below,advmod,Paragraph
",",punct,mean
“,punct,mean
Confidential,compound,Information
Information,nsubj,mean
”,punct,mean
shall,aux,mean
"
",dep,mean
mean,ROOT,mean
all,det,information
information,dobj,mean
and,cc,information
materials,conj,information
obtained,acl,information
from,prep,obtained
or,cc,obtained
disclosed,conj,obtained
to,prep,disclosed
one,nummod,party
party,pobj,to
by,agent,disclosed
the,det,party
other,amod,party
party,pobj,by
in,prep,disclosed
"
",dep,in
connection,pobj,in
with,prep,connection
the,det,Purpose
Purpose,pobj,with
in,prep,disclosed
any,det,form
form,pobj,in
or,cc,form
medium,conj,form
",",punct,information
and,cc,information
all,det,copies
copies,conj,information
thereof,advmod,copies
",",punct,information
except,prep,information
for,prep,except
any,det,"
"
such,amod,"
"
"
",dep,information
information,pobj,for
that,dobj,designates
the,det,Discloser
Discloser,nsubj,designates
designates,relcl,information
to,prep,designates
the,det,Recipient
Recipient,pobj,to
in,prep,designates
writing,pobj,in
as,mark,excluded
excluded,advcl,designates
from,prep,excluded
"
",dep,from
Confidential,compound,Information
Information,pobj,from
.,punct,mean
Without,prep,include
limitation,pobj,Without
",",punct,include
Confidential,compound,Information
Information,nsubj,include
shall,aux,include
include,ROOT,include
all,det,marketing
business,nmod,marketing
",",punct,business
"
",dep,business
marketing,nmod,information
",",punct,marketing
technical,conj,marketing
",",punct,technical
scientific,conj,technical
",",punct,scientific
financial,conj,scientific
or,cc,financial
other,conj,financial
information,dobj,include
",",punct,information
data,conj,information
",",punct,data
concepts,conj,data
",",punct,concepts
ideas,conj,concepts
",",punct,ideas
proposals,conj,ideas
",",punct,proposals
"
",dep,specimens
specimens,conj,proposals
",",punct,specimens
know,compound,how
-,punct,how
how,conj,specimens
",",punct,how
source,compound,code
code,conj,how
",",punct,code
object,compound,code
code,conj,code
",",punct,code
data,compound,bases
bases,conj,code
",",punct,bases
files,conj,bases
",",punct,files
methods,conj,files
of,prep,methods
operation,pobj,of
",",punct,methods
"
",dep,methods
research,conj,methods
",",punct,research
inventions,conj,research
",",punct,inventions
customers,conj,inventions
",",punct,customers
specifications,conj,customers
",",punct,specifications
