token,dep,head
#,nmod,AGREEMENT
#,punct,AGREEMENT
DataKind_Inc,nmod,Consulting_Agreement_for_Professional_Services_Fully_Executed_Redacted_page_1
-,punct,Consulting_Agreement_for_Professional_Services_Fully_Executed_Redacted_page_1
Consulting_Agreement_for_Professional_Services_Fully_Executed_Redacted_page_1,nmod,AGREEMENT
"
",dep,AGREEMENT
oociio,nmod,oS
metre,nmod,oS
oS,nmod,AGREEMENT
"

",dep,AGREEMENT
CONSULTING,compound,AGREEMENT
AGREEMENT,ROOT,AGREEMENT
FOR,prep,AGREEMENT
PROFESSIONAL,compound,SERVICES
SERVICES,pobj,FOR
"

",dep,is
This,det,Agreement
Consulting,compound,Agreement
Agreement,nsubj,is
for,prep,Agreement
Professional,compound,Services
Services,pobj,for
(,punct,Agreement
this,det,Agreement
“,punct,Agreement
Agreement,appos,Agreement
”,punct,Agreement
),punct,Agreement
",",punct,Agreement
effective,amod,Agreement
as,prep,effective
of,prep,as
July,pobj,of
14,nummod,July
",",punct,July
"
",dep,July
2024,nummod,July
(,punct,July
the,det,Date
“,punct,Date
Effective,amod,Date
Date,appos,July
”,punct,Date
),punct,Agreement
",",punct,Agreement
is,ROOT,is
by,prep,is
and,cc,by
between,conj,by
The,det,University
City,compound,University
University,pobj,between
of,prep,University
New,compound,York
York,pobj,of
",",punct,University
on,prep,University
behalf,pobj,on
of,prep,behalf
John,nmod,Jay
Jay,nmod,College
"
",dep,College
College,pobj,of
of,prep,College
Criminal,compound,Justice
Justice,pobj,of
(,punct,College
“,punct,College
Consultant,appos,College
”,punct,Consultant
),punct,College
",",punct,College
a,det,body
body,appos,College
corporate,advmod,established
established,acl,body
by,agent,established
Section,pobj,by
6203,nummod,Section
of,prep,Section
New,compound,York
York,nmod,Law
"
",dep,Law
Education,compound,Law
Law,pobj,of
",",punct,Section
with,prep,Section
an,det,address
address,pobj,with
at,prep,address
524,nummod,Street
W.,compound,Street
59th,compound,Street
Street,pobj,at
",",punct,Street
New,compound,York
York,npadvmod,Street
",",punct,York
NY,appos,York
10019,nummod,NY
;,punct,Section
and,cc,Section
DataK,nmod,Inc.
ind,nmod,Inc.
",",punct,Inc.
Inc.,nmod,Company
"
",dep,Company
“,punct,Company
Company,conj,Section
”,punct,Company
with,prep,Company
a,det,address
mailing,compound,address
address,pobj,with
o,nummod,Section
"
",dep,College
each,nsubjpass,referred
of,prep,each
which,pobj,of
may,aux,referred
sometimes,advmod,referred
be,auxpass,referred
referred,conj,College
to,prep,referred
in,prep,referred
this,det,Agreement
Agreement,pobj,in
as,prep,referred
a,det,Party
“,punct,Party
Party,pobj,as
”,punct,Party
or,cc,referred
"
",dep,referred
collectively,advmod,as
as,prep,referred
the,det,Parties
“,punct,Parties
Parties,pobj,as
.,punct,is
”,punct,is
"

",dep,Services
1,meta,Services
.,punct,1
Services,ROOT,Services
_,punct,Services
and,cc,Services
Change,compound,Management
Management,conj,Services
.,punct,Management
Consultant,nsubj,undertake
shall,aux,undertake
undertake,ROOT,undertake
and,cc,undertake
complete,conj,undertake
the,det,services
"

",dep,services
consulting,compound,services
services,dobj,complete
specified,acl,services
in,prep,specified
Schedule,compound,A
A,pobj,in
(,punct,services
the,det,Services
“,punct,Services
Services,appos,services
”,punct,Services
),punct,services
in,prep,complete
accordance,pobj,in
with,prep,accordance
the,det,timetables
timetables,pobj,with
and,cc,timetables
other,amod,terms
"
",dep,terms
terms,conj,timetables
and,cc,terms
conditions,conj,terms
set,acl,timetables
forth,prt,set
in,prep,set
Schedule,compound,A.
A.,punct,undertake
Company,nsubj,request
may,aux,request
",",punct,request
at,prep,request
any,det,time
time,pobj,at
",",punct,request
by,prep,request
written,amod,notice
notice,pobj,by
to,prep,notice
Consultant,pobj,to
",",punct,by
"
",dep,by
request,ROOT,request
changes,dobj,request
to,prep,changes
the,det,Services
Services,pobj,to
",",punct,changes
which,nsubj,become
shall,aux,become
become,relcl,changes
effective,acomp,become
only,advmod,upon
upon,prep,become
mutual,amod,agreement
written,amod,agreement
agreement,pobj,upon
of,prep,agreement
the,det,Parties
"
",dep,Parties
Parties,pobj,of
.,punct,request
Within,prep,provide
a,det,period
commercially,advmod,reasonable
reasonable,amod,period
period,pobj,Within
of,prep,period
time,pobj,of
",",punct,Within
but,cc,Within
in,conj,Within
any,det,event
event,pobj,in
no,neg,longer
longer,pobj,Within
than,prep,longer
ten,nummod,"
"
(,punct,"
"
10,nummod,"
"
),punct,"
"
business,compound,"
"
"
",dep,days
days,pobj,than
",",punct,provide
Consultant,nsubj,provide
will,aux,provide
provide,ROOT,provide
Company,dobj,provide
with,prep,provide
an,det,estimate
estimate,pobj,with
of,prep,estimate
the,det,impact
impact,pobj,of
",",punct,impact
if,mark,any
any,advcl,impact
",",punct,impact
of,prep,impact
such,amod,change
requested,amod,change
change,pobj,of
on,prep,impact
"
",dep,on
the,det,terms
payment,compound,terms
terms,pobj,on
",",punct,terms
completion,compound,schedule
schedule,conj,terms
",",punct,schedule
and,cc,schedule
any,det,provision
other,amod,provision
applicable,amod,provision
provision,conj,schedule
of,prep,provision
this,det,Agreement
Agreement,pobj,of
.,punct,provide
If,mark,agree
the,det,Parties
"
",dep,Parties
Parties,nsubj,agree
mutually,advmod,agree
agree,advcl,prepared
to,prep,agree
such,amod,changes
changes,pobj,to
",",punct,prepared
a,det,description
written,amod,description
description,nsubjpass,prepared
of,prep,description
the,det,change
agreed,amod,change
change,pobj,of
(,punct,description
a,det,Authorization
“,punct,Authorization
Change,nmod,Authorization
"
",dep,Authorization
Authorization,appos,description
”,punct,Authorization
),punct,description
will,aux,prepared
be,auxpass,prepared
prepared,ROOT,prepared
",",punct,prepared
and,cc,prepared
will,aux,become
become,conj,prepared
effective,acomp,become
upon,prep,become
signature,pobj,upon
by,prep,signature
both,det,Parties
Parties,pobj,by
.,punct,prepared
The,det,terms
terms,nsubj,prevail
of,prep,terms
"
",dep,Authorization
a,compound,Authorization
Change,compound,Authorization
Authorization,pobj,of
prevail,ROOT,prevail
over,prep,prevail
those,pobj,over
contained,acl,those
in,prep,contained
this,det,Agreement
Agreement,pobj,in
.,punct,prevail
"

",dep,Acceptance
2,meta,Acceptance
.,punct,2
Acceptance,ROOT,Acceptance
of,prep,Acceptance
Deliverables,pobj,of
.,punct,Acceptance
Company,poss,acceptance
’s,case,Company
acceptance,nsubj,be
of,prep,acceptance
the,det,deliverables
deliverables,pobj,of
to,aux,provided
be,auxpass,provided
provided,relcl,deliverables
by,agent,provided
"
",dep,by
Consultant,pobj,by
hereunder,advmod,Consultant
(,punct,by
the,det,Deliverables
“,punct,Deliverables
Deliverables,pobj,by
”,punct,Deliverables
),punct,deliverables
will,aux,be
be,ROOT,be
subject,acomp,be
to,prep,subject
Company,poss,determination
’s,case,Company
determination,pobj,to
that,mark,complies
each,det,Deliverable
"
",dep,Deliverable
Deliverable,nsubj,complies
complies,acl,determination
",",punct,complies
in,prep,complies
all,det,respects
material,amod,respects
respects,pobj,in
",",punct,complies
with,prep,complies
any,det,specifications
specifications,pobj,with
set,acl,specifications
forth,prt,set
in,prep,set
Schedule,compound,A.
A.,punct,be
If,mark,determines
Company,nsubj,determines
