text,label
This Consulting Agreement,LAW
"July 14,
2024",DATE
The City University of New York,ORG
"John Jay
College of Criminal Justice",ORG
"Section 6203 of New York
Education Law",LAW
New York,GPE
NY,GPE
"DataK ind, Inc.",ORG
1,CARDINAL
Consultant,ORG
10,CARDINAL
Consultant,ORG
Parties,ORG
2,CARDINAL
Company,ORG
Company,ORG
Company,ORG
thirty (30) days,DATE
Consultant,ORG
Company,ORG
Consultant,ORG
Deliverable,PRODUCT
thirty (30) day,DATE
Company,ORG
Company,ORG
Consultant,ORG
3,CARDINAL
Consultant,ORG
Consultant,ORG
Consultant,ORG
Company,ORG
Company,ORG
Consultant,ORG
Consultant,ORG
Company,ORG
monthly,DATE
hours,TIME
Company,ORG
thirty (30) days,DATE
Consultant,ORG
U.S.,GPE
Company,ORG
Justworks,ORG
one (1) year,DATE
thirty (30) days,DATE
Company,ORG
Consultant,ORG
Company,ORG
Consultant,ORG
Consultant,ORG
Company,ORG
Consultant,ORG
Consultant,ORG
Company,ORG
Company,ORG
Consultant,ORG
only one,CARDINAL
1,CARDINAL
"1 2-month
period",DATE
4.,CARDINAL
Consultant,ORG
Consultant,ORG
Consultant,ORG
Company,ORG
Consultant,ORG
Company,ORG
Consultant,ORG
Consultant,ORG
Company,ORG
monthly,DATE
Company,ORG
thirty (30) days,DATE
5.,CARDINAL
Company,ORG
Consultant,ORG
Company,ORG
Company,ORG
Data,ORG
Data,ORG
Consultant,ORG
Consultant,ORG
Data,ORG
Consultant,ORG
Consultant,ORG
6,CARDINAL
Consultant,ORG
Company,ORG
Consultant,ORG
ii,CARDINAL
Consultant,ORG
"Schedule
A.",LAW
iii,CARDINAL
Consultant,ORG
Company,ORG
Consultant,ORG
Consultant,ORG
Company,ORG
Consultant,ORG
Company,ORG
"the Family Educational Rights
and Privacy Act",LAW
20 U.S.C. § 1232,LAW
34 CFR Part 99,LAW
third,ORDINAL
the United States Department of Education,ORG
Company,ORG
Company,ORG
"Section 8 of the State Court of
Claims Act",LAW
Consultant,ORG
DataKind,ORG
Licensor,ORG
DataKind,ORG
Consultant,ORG
third,ORDINAL
Licensor,ORG
third,ORDINAL
Company,ORG
Company,ORG
New York State’s,GPE
Freedom of Information Law,LAW
Consultant,ORG
Consultant,ORG
Company,ORG
iii,CARDINAL
Consultant,ORG
Company,ORG
Consultant,ORG
third,ORDINAL
Consultant,ORG
Company,ORG
Consultant,ORG
"September 30, 2024,",DATE
Company,ORG
ten (10) days’,DATE
Company,ORG
thirty (30) days’,DATE
Consultant,ORG
Company,ORG
Consultant,ORG
Consultant,ORG
Company,ORG
Party,ORG
Party,ORG
Party,ORG
"Sections 5,",LAW
6,CARDINAL
7,CARDINAL
8,CARDINAL
9,CARDINAL
10-15,CARDINAL
THREE,CARDINAL
3,CARDINAL
SECTION 10.1,LAW
SECTION 10.2,LAW
1,CARDINAL
Consultant,ORG
Company,ORG
Consultant,ORG
hours,TIME
Consultant,ORG
Social Security,ORG
third,ORDINAL
Party,ORG
three (3) days,DATE
U.S.,GPE
Party,ORG
June 2023,DATE
third,ORDINAL
the State of New York,GPE
New York,GPE
"DataKind, Inc.",ORG
The City University of New York,ORG
John Jay College of Criminal Justice,ORG
"Nore
vie CS",PERSON
"Pus Davo

",PERSON
"The City University of New
",ORG
Office of the Gengral Counsel,ORG
DataKind,ORG
Google.org,ORG
DataKind,ORG
John Jay College,ORG
10-20,CARDINAL
"1,500",CARDINAL
CUSP,ORG
CUST,ORG
"7,000",CARDINAL
CUSP,ORG
CUST,ORG
CUSP/T,ORG
DataKind,ORG
DataK ind,ORG
Consultant,ORG
DataKind,ORG
John Jay College,ORG
Completion for Upper Division Program,ORG
CUSP,ORG
CUSP,ORG
College,ORG
Company,ORG
John Jay College,ORG
CUSP,ORG
"July 14, 2024",DATE
"September 30, 2024",DATE
DataKind,ORG
"December 30, 2024",DATE
DataKind,ORG
DataKind,ORG
U.S. dollars,MONEY
Company,ORG
Justworks,ORG
Justworks,ORG
DataKind,ORG
thirty (30) days,DATE
DataKind,ORG
Consultant,ORG
"15,000",MONEY
Consultant,ORG
"15,000",MONEY
John Jay College,ORG
DataKind,ORG
"September 30,
2024",DATE
STANDARD,PERSON
NEW YORK,GPE
June 2023,DATE
1.,CARDINAL
"3
2",CARDINAL
"3
",CARDINAL
3.,CARDINAL
"3
",CARDINAL
"3
§",CARDINAL
"3
6",CARDINAL
3-4,CARDINAL
"4
",CARDINAL
"4
",CARDINAL
