token,dep,head
#,nmod,Agreement
#,punct,Agreement
Services_Agreement_-_Datakind_-_JJC_-_2022.02.15_AF_JD_Redacted_page_1,punct,#
"
",dep,Agreement
DataKind,nmod,Agreement
"

",dep,Agreement
Services,compound,Agreement
Agreement,ROOT,Agreement
"

",dep,"

"
This,det,Agreement
Services,compound,Agreement
Agreement,ROOT,Agreement
(,punct,Agreement
the,det,Agreement
“,punct,Agreement
Agreement,appos,Agreement
”,punct,Agreement
),punct,Agreement
is,auxpass,made
made,acl,Agreement
and,cc,made
entered,conj,made
into,prep,entered
as,prep,entered
of,prep,as
February,pobj,of
1,nummod,February
",",punct,February
2022,nummod,February
(,punct,February
the,det,Date
"
",dep,Date
“,punct,Date
Effective,amod,Date
Date,appos,February
”,punct,Date
),punct,February
",",punct,February
by,prep,entered
and,cc,by
between,conj,by
DataKind,nmod,Inc.
",",punct,Inc.
Inc.,pobj,between
",",punct,Inc.
a,det,corporation
corporation,appos,Inc.
organized,acl,corporation
under,prep,organized
the,det,laws
laws,pobj,under
of,prep,laws
the,det,"

"
"

",dep,of
|,pobj,of
with,prep,organized
a,det,address
mailing,compound,address
address,pobj,with
of,prep,address
[,pobj,of
SSR,pobj,of
i,pobj,of
"
",dep,of
(,punct,of
"""",punct,of
DataKind,pobj,of
"""",punct,of
),punct,of
",",punct,of
and,cc,of
The,det,University
City,compound,University
University,pobj,of
of,prep,University
New,compound,York
York,pobj,of
",",punct,University
a,det,corporation
New,compound,York
York,compound,corporation
education,compound,corporation
corporation,appos,University
"

",dep,University
organized,acl,University
pursuant,oprd,organized
to,prep,pursuant
Article,pobj,to
125,nummod,Article
of,prep,Article
the,det,Law
New,compound,York
York,compound,State
State,compound,Law
Education,compound,Law
Law,pobj,of
",",punct,University
on,prep,University
behalf,pobj,on
of,prep,behalf
John,nmod,Jay
Jay,pobj,of
"
",dep,Jay
College,appos,Jay
of,prep,College
Criminal,compound,Justice
Justice,pobj,of
",",punct,Jay
having,acl,Inc.
offices,dobj,having
at,prep,offices
524,nummod,St
W,compound,St
59th,amod,St
St,pobj,at
",",punct,St
New,compound,York
York,npadvmod,St
",",punct,St
NY,appos,St
10019,nummod,NY
(,punct,Client
“,punct,Client
Client,conj,made
”,punct,Client
),punct,Client
.,punct,Agreement
"
",dep,referred
Each,nsubjpass,referred
of,prep,Each
DataKind,pobj,of
and,cc,DataKind
Client,conj,DataKind
is,auxpass,referred
sometimes,advmod,referred
referred,ROOT,referred
to,prep,referred
in,prep,referred
this,det,Agreement
Agreement,pobj,in
as,prep,referred
a,det,Party
“,punct,Party
Party,pobj,as
”,punct,Party
and,cc,as
"
",dep,as
collectively,advmod,as
as,conj,as
the,det,Parties
“,punct,Parties
Parties,pobj,as
.,punct,referred
”,punct,referred
"

",dep,RECITALS
RECITALS,ROOT,RECITALS
"

",dep,"

"
WHEREAS,advmod,is
",",punct,is
DataKind,nsubj,is
is,ROOT,is
a,det,organization
nonprofit,amod,organization
organization,attr,is
that,nsubj,offers
offers,relcl,organization
data,compound,science
science,compound,services
services,dobj,offers
to,dative,offers
high,amod,impact
"
",dep,impact
impact,nmod,organizations
social,amod,organizations
organizations,pobj,to
;,punct,is
and,cc,is
"

",dep,wishes
WHEREAS,advmod,wishes
",",punct,wishes
Client,nsubj,wishes
wishes,conj,is
to,aux,receive
receive,xcomp,wishes
certain,amod,services
professional,amod,services
services,dobj,receive
from,prep,receive
DataKind,pobj,from
",",punct,receive
subject,amod,receive
"
",dep,subject
to,prep,subject
and,cc,subject
in,conj,subject
accordance,pobj,in
with,prep,accordance
terms,pobj,with
and,cc,terms
conditions,conj,terms
of,prep,terms
this,det,Agreement
Agreement,pobj,of
.,punct,wishes
"

",dep,agree
NOW,advmod,agree
THEREFORE,advmod,agree
",",punct,agree
in,prep,agree
consideration,pobj,in
of,prep,consideration
the,det,covenants
mutual,amod,covenants
covenants,pobj,of
and,cc,covenants
promises,conj,covenants
contained,acl,covenants
"
",dep,contained
herein,pobj,"
"
and,cc,covenants
other,amod,consideration
good,amod,consideration
and,cc,good
valuable,conj,good
consideration,conj,covenants
",",punct,consideration
the,det,receipt
receipt,nsubjpass,acknowledged
and,cc,receipt
sufficiency,conj,receipt
of,prep,receipt
which,pobj,of
are,auxpass,acknowledged
"
",dep,acknowledged
hereby,advmod,acknowledged
acknowledged,relcl,consideration
",",punct,agree
the,det,Parties
Parties,nsubj,agree
agree,ROOT,agree
as,mark,follows
follows,advcl,agree
:,punct,follows
"

",dep,agree
1,punct,agree
.,punct,agree
Provision,dobj,agree
of,prep,Provision
Services,pobj,of
.,punct,agree
DataKind,nsubj,provide
shall,aux,provide
provide,ROOT,provide
Client,dobj,provide
with,prep,provide
certain,amod,science
data,nmod,science
science,pobj,with
"
",dep,science
and,cc,science
consulting,conj,science
services,conj,science
relating,acl,science
to,prep,relating
Client,poss,business
’s,case,Client
business,pobj,to
",",punct,science
as,mark,agreed
agreed,advcl,science
upon,prep,agreed
by,agent,agreed
the,det,Parties
Parties,pobj,by
from,prep,agreed
time,pobj,from
to,prep,from
"
",dep,to
time,pobj,to
and,cc,agreed
detailed,conj,agreed
in,prep,detailed
a,det,Statement
Statement,pobj,in
of,prep,Statement
Work,pobj,of
(,punct,Statement
the,det,SOW
“,punct,SOW
SOW,appos,Statement
”,punct,SOW
),punct,Statement
substantially,advmod,in
in,prep,Statement
the,det,form
form,pobj,in
of,prep,form
SOW,compound,#
#,pobj,of
1,nummod,#
",",punct,#
"
",dep,#
which,nsubjpass,agreed
is,auxpass,agreed
agreed,relcl,#
to,prep,agreed
by,agent,agreed
the,det,Parties
Parties,pobj,by
and,cc,agreed
attached,conj,agreed
hereto,advmod,attached
as,prep,attached
Schedule,compound,A
A,pobj,as
(,punct,A
collectively,advmod,Services
",",punct,Services
the,det,Services
"
",dep,Services
“,punct,Services
Services,appos,A
”,punct,Services
),punct,agreed
.,punct,provide
Each,det,SOW
SOW,nsubj,include
shall,aux,include
include,ROOT,include
a,det,description
description,dobj,include
of,prep,description
Services,pobj,of
",",punct,description
a,det,schedule
project,compound,schedule
schedule,conj,description
and,cc,schedule
"
",dep,milestones
milestones,conj,schedule
and,cc,schedule
all,det,fees
fees,conj,schedule
to,aux,paid
be,auxpass,paid
paid,relcl,fees
for,prep,paid
such,amod,Services
Services,pobj,for
.,punct,include
"

",dep,Term
2,meta,Term
.,punct,2
Term,ROOT,Term
and,cc,Term
Termination,conj,Term
.,punct,Term
"

",dep,commence
(,punct,commence
a,meta,commence
),punct,a
This,det,Agreement
Agreement,nsubj,commence
shall,aux,commence
commence,ROOT,commence
on,prep,commence
the,det,Date
Effective,compound,Date
Date,pobj,on
and,cc,commence
continue,conj,commence
in,prep,continue
"
",dep,in
effect,pobj,in
until,mark,terminated
terminated,advcl,continue
as,mark,set
set,advcl,terminated
forth,prt,set
hereunder,advmod,set
.,punct,commence
Provided,prep,terminated
that,mark,are
no,det,SOWs
SOWs,nsubj,are
are,ccomp,Provided
then,advmod,are
in,prep,are
effect,pobj,in
",",punct,terminated
this,det,Agreement
"
",dep,Agreement
Agreement,nsubjpass,terminated
may,aux,terminated
be,auxpass,terminated
