text,label
This Services Agreement,LAW
"February 1, 2022",DATE
"DataKind, Inc.",ORG
DataKind,ORG
The City University of New York,ORG
New York,GPE
Article 125 of the New York State Education Law,LAW
"John Jay
College of Criminal Justice",ORG
New York,GPE
NY,GPE
DataKind,ORG
Client,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
SOW #1,LAW
Party,ORG
SOW,ORG
Party,ORG
Party,ORG
SOW,ORG
thirty (80) days,DATE
Party,ORG
"Sections 4,",LAW
7,CARDINAL
8,CARDINAL
9,CARDINAL
4,CARDINAL
DataKind,ORG
Services,ORG
DataKind,ORG
DataKind,ORG
Services,ORG
Client,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
the Work Product,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
"June 21, 2021",DATE
Client,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
Work Product,ORG
Client,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
third,ORDINAL
Client,ORG
Client,ORG
DataKind,ORG
Client,ORG
third,ORDINAL
DataKind,ORG
Services,ORG
DataKind,ORG
6.,CARDINAL
DataKind,ORG
Client,ORG
Datakind,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
"the City of
New York",GPE
DataKind,ORG
The New York State Iran Divestment Act of 2012,LAW
New York State,GPE
Office of General Services,ORG
DataKind,ORG
Client,ORG
"the Mutual Non-Disclosure
Agreement",LAW
"June 21, 2021",DATE
Services,ORG
MNDA,ORG
DataKind,ORG
MNDA,ORG
paragraph 3,LAW
MNDA,LAW
Datakind,ORG
8.,CARDINAL
Section 8,LAW
the New York State Court of Claims Act,LAW
Client,ORG
DataKind,ORG
any DataKind Indemnified Party,ORG
Client,ORG
DataKind,ORG
Client,ORG
Client,ORG
third,ORDINAL
third,ORDINAL
THIRD,ORDINAL
DataKind,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
7,CARDINAL
DataKind,ORG
Client,ORG
DataKind,ORG
"the Mutual Non-Disclosure
Agreement",LAW
Client,ORG
DataKind,ORG
the State of New York,GPE
New York,GPE
one,CARDINAL
DataKind,ORG
DataKind,ORG
Services,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
the City of New York,GPE
the State of New York,GPE
DataKind,ORG
DataKind,ORG
New York State,GPE
State,ORG
the State of New York,GPE
"DataKind, Inc.",ORG
Office of the General Counsel,ORG
2/15/2022,DATE
John Jay College,ORG
DataKind,ORG
1.,CARDINAL
DataKind,ORG
3.,CARDINAL
DataKind,ORG
4.,CARDINAL
5.,CARDINAL
6,CARDINAL
DataKind,ORG
DataKind,ORG
the United States,GPE
four-year,DATE
"2
years",DATE
a Bachelor's degree,WORK_OF_ART
4 years,DATE
an additional 4 years,DATE
6 years,DATE
Associate’s and,WORK_OF_ART
Bachelor’s degree,ORG
John Jay College of Criminal Justice,ORG
JUC,ORG
"The City University of New York
",ORG
CUNY,ORG
College,ORG
College,ORG
"15,000",CARDINAL
John Jay College,ORG
the City University of New York’s,ORG
60%,PERCENT
40%,PERCENT
25%,PERCENT
African American,NORP
today,DATE
the United States,GPE
4-year,DATE
4 year,DATE
"the American Institutes for
Research",ORG
only about 60%,PERCENT
four-year,DATE
six years’,DATE
4 year,DATE
John Jay College,ORG
NYC,GPE
CUNY,ORG
4 year,DATE
6 years,DATE
John Jay College,ORG
JJC,ORG
John Jay College,ORG
John Jay,ORG
