token,dep,head
#,punct,No
#,nmod,US
20230325777_page_1,nmod,US
"
",dep,US
US,appos,#
20230325777A1,nummod,US
"

",dep,States
ao,meta,States
),punct,ao
United,compound,States
States,appos,US
"

",dep,co
a2,nmod,co
),punct,co
Patent,compound,Application
Application,compound,co
Publication,compound,co
co,appos,#
),punct,co
Pub,compound,No
.,punct,No
No,ROOT,No
.,punct,No
:,punct,No
US,appos,No
2023/0325777,nummod,US
Al,dep,RESOLVED
"
",dep,Al
Olsten,appos,Al
et,prep,Olsten
al,conj,Olsten
.,conj,Olsten
"

",dep,RESOLVED
(,punct,RESOLVED
54,dep,RESOLVED
),punct,RESOLVED
POSITION,compound,RESOLVED
-,punct,RESOLVED
RESOLVED,ROOT,RESOLVED
",",punct,RESOLVED
BROAD,compound,ENGAGEMENT
"
",dep,ENGAGEMENT
ENGAGEMENT,conj,RESOLVED
",",punct,RESOLVED
CANDIDATE,compound,MATCHING
MATCHING,appos,RESOLVED
"

",dep,RESOLVED
SYSTEM,appos,RESOLVED
"

",dep,Applicants
(,punct,71
71,nummod,Applicants
),punct,71
Applicants,ROOT,Applicants
:,punct,Applicants
Stuart,compound,Olsten
Olsten,appos,Applicants
",",punct,Olsten
Milwaukee,npadvmod,Olsten
",",punct,Milwaukee
WI,appos,Milwaukee
(,punct,Olsten
US,npadvmod,Olsten
),punct,Olsten
;,punct,Olsten
"

",dep,Applicants
(,punct,72
72,nummod,Inventors
),punct,72
Inventors,appos,Applicants
:,punct,Inventors
"

",dep,Applicants
Michael,compound,Campion
A.,compound,Campion
Campion,appos,Applicants
",",punct,Campion
Milwaukee,npadvmod,Campion
",",punct,Milwaukee
WI,appos,Milwaukee
],punct,Applicants
"
",dep,Applicants
(,punct,"
"
US,npadvmod,"
"
),punct,"
"
;,punct,Applicants
William,compound,Rose
Rose,appos,Applicants
",",punct,Rose
Milwaukee,npadvmod,Rose
",",punct,Milwaukee
WI,appos,Milwaukee
],punct,Rose
"
",dep,Applicants
(,punct,"
"
US,npadvmod,"
"
),punct,"
"
"

",dep,Applicants
Stuart,compound,Olsten
Olsten,appos,Applicants
",",punct,Olsten
Milwaukee,npadvmod,Olsten
",",punct,Milwaukee
WI,appos,Milwaukee
(,punct,Olsten
US,npadvmod,Olsten
),punct,Olsten
;,punct,Olsten
"
",dep,Applicants
Michael,compound,Campion
A.,compound,Campion
Campion,appos,Applicants
",",punct,Campion
Milwaukee,npadvmod,Campion
",",punct,Milwaukee
WI,appos,Milwaukee
],punct,Campion
"
",dep,Applicants
(,punct,"
"
US,npadvmod,"
"
),punct,"
"
;,punct,Applicants
William,compound,Rose
Rose,appos,Applicants
",",punct,Rose
Milwaukee,npadvmod,Rose
",",punct,Milwaukee
WI,appos,Milwaukee
"
",dep,Applicants
(,punct,US
US,appos,"
"
),punct,US
"

",dep,Applicants
(,punct,21
21,nummod,No
),punct,21
Appl,compound,No
.,compound,No
No,appos,Applicants
.,punct,No
:,punct,No
"18/157,543",appos,No
"

",dep,Applicants
(,punct,22
22,appos,"

"
),punct,22
Filed,acl,22
:,punct,Filed
"

",dep,Filed
Jan.,npadvmod,Filed
20,nummod,Jan.
",",punct,Jan.
2023,nummod,Jan.
"

",dep,Applicants
Related,ROOT,Related
U.S.,compound,Data
Application,compound,Data
Data,ROOT,Data
"
",dep,Data
(,punct,60
60,appos,Data
),punct,60
Provisional,amod,No
application,compound,No
No,appos,Data
.,appos,Data
"63/330,142",nummod,.
",",punct,.
filed,acl,.
on,prep,filed
Apr.,pobj,on
"

",dep,Apr.
12,nummod,Apr.
",",punct,Apr.
2022,nummod,Apr.
.,punct,Data
"

",dep,"

"
40,nummod,"

"
"

",dep,"

"
46,nummod,"

"
"

",dep,"

"
20,nummod,"

"
"

",dep,"

"
D2,appos,"

"
"

",dep,"

"
58,nummod,"

"
"

",dep,"

"
60,nummod,"

"
"

",dep,"

"
(,punct,43
43,appos,"

"
),punct,43
Pub,ROOT,Pub
.,punct,Pub
Date,ROOT,Date
:,punct,Date
Oct.,appos,Date
12,nummod,Oct.
",",punct,Oct.
2023,nummod,Oct.
"

",dep,Date
Publication,compound,Classification
Classification,ROOT,Classification
"

",dep,Classification
(,punct,51
51,appos,"

"
),punct,51
Int,compound,Cl
.,compound,Cl
Cl,appos,"

"
.,punct,Cl
"
",dep,G060
G060,appos,.
10/1053,nummod,G060
(,punct,10/1053
2006.01,npadvmod,10/1053
),punct,10/1053
"
",dep,G060
G060,appos,G060
10/0631,nummod,G060
(,punct,10/0631
2006.01,npadvmod,10/0631
),punct,10/0631
"
",dep,CPC
(,punct,52
52,appos,"
"
),punct,52
U.S.,compound,CL
CL,nmod,CPC
.,nmod,CPC
"
",dep,CPC
CPC,appos,Classification
.,punct,CPC
G06O,appos,CPC
10/1053,nummod,G06O
(,punct,G06O
2013.01,npadvmod,G06O
),punct,G06O
;,punct,Classification
G060,appos,Classification
10/063112,nummod,G060
"
",dep,G060
(,punct,G060
2013.01,npadvmod,G060
),punct,G060
"
",dep,Classification
(,punct,57
57,appos,"
"
),punct,57
ABSTRACT,appos,Classification
"

",dep,"

"
An,det,apparatus
apparatus,nsubj,provides
for,prep,apparatus
assisting,pcomp,for
in,prep,assisting
the,det,evaluation
evaluation,pobj,in
of,prep,evaluation
candidates,pobj,of
"
",dep,apparatus
provides,ROOT,provides
an,det,analysis
analysis,dobj,provides
of,prep,analysis
interview,compound,answers
answers,pobj,of
to,aux,extract
extract,advcl,provides
person-,compound,ality
