text,label
United States,GPE
Olsten,PERSON
Stuart Olsten,PERSON
Milwaukee,GPE
WI,GPE
US,GPE
Michael A. Campion,PERSON
Milwaukee,GPE
WI,GPE
US,GPE
William Rose,PERSON
Milwaukee,GPE
WI,GPE
US,GPE
Stuart Olsten,PERSON
Milwaukee,GPE
WI,GPE
US,GPE
Michael A. Campion,PERSON
Milwaukee,GPE
WI,GPE
US,GPE
William Rose,PERSON
Milwaukee,GPE
WI,GPE
US,GPE
"Jan. 20, 2023",DATE
U.S.,GPE
"Apr.

12, 2022",DATE
"Oct. 12, 2023",DATE
2006.01,DATE
2006.01,DATE
2013.01,DATE
2013.01,DATE
"Oct. 12,2023",DATE
1,CARDINAL
5,CARDINAL
"Oct. 12,2023",DATE
2,CARDINAL
5,CARDINAL
"Oct. 12,2023",DATE
3,CARDINAL
5,CARDINAL
JEAN DEUAX,PERSON
2%,PERCENT
"Oct. 12,2023",DATE
4,CARDINAL
5,CARDINAL
"Oct. 12,2023",DATE
5,CARDINAL
"U.S. Provi-
sional Application 63/330,142",ORG
"Apr. 12, 2022",DATE
"Oct. 12, 2023",DATE
one,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
"Oct. 12, 2023",DATE
at least one,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
11s,CARDINAL
2,CARDINAL
31s,CARDINAL
1,CARDINAL
4,CARDINAL
6,CARDINAL
second,ORDINAL
6,CARDINAL
6,CARDINAL
7,CARDINAL
1,CARDINAL
one,CARDINAL
12,CARDINAL
14,CARDINAL
16,CARDINAL
14,CARDINAL
12,CARDINAL
one,CARDINAL
17,CARDINAL
18,CARDINAL
20,CARDINAL
12,CARDINAL
21,CARDINAL
23,CARDINAL
12,CARDINAL
22,CARDINAL
26a,CARDINAL
266,CARDINAL
23,CARDINAL
26,CARDINAL
30,CARDINAL
20,CARDINAL
20,CARDINAL
2,CARDINAL
3,CARDINAL
5,CARDINAL
20,CARDINAL
20,CARDINAL
42,CARDINAL
16,CARDINAL
40,CARDINAL
3,CARDINAL
5,CARDINAL
one,CARDINAL
42,CARDINAL
16,CARDINAL
2,CARDINAL
42,CARDINAL
44,CARDINAL
47,CARDINAL
48,CARDINAL
46,CARDINAL
3,CARDINAL
44,CARDINAL
50,CARDINAL
3,CARDINAL
53,CARDINAL
2,CARDINAL
55,CARDINAL
14,CARDINAL
23,CARDINAL
"Oct. 12, 2023",DATE
23,CARDINAL
21,CARDINAL
12,CARDINAL
