token,dep,head
#,nmod,Agreement
#,nmod,Agreement
R008763_page_1,punct,#
"
",dep,R008763_page_1
TALENT,nmod,SELECT
"
",dep,SELECT
SELECT,nmod,Agreement
"

",dep,SELECT
Student,compound,Agreement
Select,compound,Agreement
Services,compound,Agreement
Agreement,ROOT,Agreement
"

",dep,entered
This,det,Agreement
Services,compound,Agreement
Agreement,nsubjpass,entered
is,auxpass,entered
entered,ROOT,entered
into,prep,entered
as,prep,entered
of,prep,as
the,det,date
last,amod,date
signature,compound,date
date,pobj,of
below,advmod,date
(,punct,date
“,punct,Date
Effective,amod,Date
Date,appos,date
”,punct,Date
),punct,date
by,prep,entered
and,cc,by
between,conj,by
"
",dep,Rutgers
Rutgers,pobj,between
",",punct,Rutgers
The,det,University
State,compound,University
University,conj,Rutgers
of,prep,University
New,compound,Jersey
Jersey,pobj,of
",",punct,University
with,prep,University
an,det,address
address,pobj,with
of,prep,address
65,nummod,Street
Bergen,compound,Street
Street,pobj,of
",",punct,Street
Suite,appos,Street
120,nummod,Suite
",",punct,Street
Newark,npadvmod,Street
",",punct,Newark
NJ,appos,Newark
"
",dep,Street
07107,appos,Street
-,appos,Street
1709,appos,Street
(,punct,Street
“,punct,Street
University,appos,Street
”,punct,University
),punct,Street
and,cc,Rutgers
Talent,compound,Al
Select,compound,Al
Al,conj,Rutgers
",",punct,Al
LLC,appos,Al
",",punct,Al
a,det,Company
Delaware,nmod,Company
Limited,compound,Liability
Liability,compound,Company
Company,appos,Al
",",punct,Al
with,prep,Al
an,det,address
address,pobj,with
of,prep,address
320,nummod,Street
"

",dep,Street
E.,compound,Street
Buffalo,compound,Street
Street,pobj,of
",",punct,Street
Ste,appos,Street
403,nummod,Ste
",",punct,Street
Milwaukee,npadvmod,Street
",",punct,Milwaukee
WI,appos,Milwaukee
53202,nummod,WI
(,punct,Select
“,punct,Select
Talent,compound,Select
Select,pobj,of
”,punct,Select
),punct,Select
.,punct,entered
Hereinafter,advmod,referred
",",punct,referred
collectively,advmod,referred
Talent,compound,Select
Select,nsubjpass,referred
and,cc,Select
"
",dep,University
University,conj,Select
are,auxpass,referred
referred,ROOT,referred
to,prep,referred
as,prep,referred
the,det,Parties
(,punct,Parties
“,punct,Parties
Parties,pobj,as
”,punct,Parties
),punct,Parties
.,punct,referred
This,det,Agreement
Services,compound,Agreement
Agreement,nsubjpass,referred
and,cc,Agreement
all,det,exhibits
exhibits,conj,Agreement
",",punct,exhibits
service,compound,orders
orders,conj,exhibits
",",punct,orders
and,cc,orders
schedules,conj,orders
"
",dep,exhibits
attached,acl,exhibits
